# Deleted Objects Ledger
#  Initialized: 2025-11-06
# Purpose: Permanent ledger of retired or obsolete objects.
# No rows are ever removed. Resurrection is annotated in the Notes column.

Object ID,Canonical Name,Date of Deletion,Origin File,Reason,Notes
T95,DocumenteachstepforcreatingupdatingandsendingtheAttachmentA,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.3 was removed,
T96,DefineownershipcreateworkinstructionsandstorealongsidethemastertemplateMikeJakeMelissa,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.3 was removed,
T97,Meetwithsalesrepstoexplainthenewprocessandoutlinehowtheinitialrolloutwillgo,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.4 was removed,
T98,SendAttachmentAnotificationwithclearmessaging,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.4 was removed,
T99,Capturereactionsandadjusttemplateormessaging,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.4 was removed,
T100,Schedulecommunicationcadenceandtrackconfirmations,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.5 was removed,
T101,Verifyacknowledgmentrecordconfirmationssummarizecoverageandnotenextsteps,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.6 was removed,
T102,EstablishnextevolutionofAttachmentAtoincludeallcustomerXrefpartsandnotewhichitemsFieldisnotstockingnopricecoldstartleadtimenocommitment,2025-11-12,Projects/Project-AttachmentA.md,Removed ledger entry because parent P3.2.6 was removed,
T103,TesttheSPXimplementationrecentinBoltwiseandcomparetotheactualP21ItemIDswecrossreferencedforSPXrecently,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed ledger entry because parent P10.2 was removed,
T104,PullcommitmentquantitiesfromAttachmentAdata,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.1 was removed,
T105,DefineslowmovingcriteriaandcreatereportlayoutinPowerBI,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.1 was removed,
T106,ValidatecalculationswithZachandChrisPauli,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.1 was removed,
T107,Defineruleifitemisslowmovingfor2periodscustomermustissueaPO,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.2 was removed,
T108,DocumentescalationandalignwithSalesReps,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.2 was removed,
T109,Setquarterlysemiannualprocesscadence,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.3 was removed,
T110,Createmeetingpreptemplate,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.3 was removed,
T111,Testprocesswith12customers,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.4 was removed,
T112,Adjustandscalerollout,2025-11-12,Projects/Project-InventoryReport.md,Removed ledger entry because parent P8.2.4 was removed,
T113,DraftofficialmessagingtorolloutincreasesincludecontextonIEEPAtariffskeyimpactedtariffstimelinesandcommunicationtoneandsendtoAdamforreview,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T114,Spend30mincomparingpretariffposttariffactualmarginsonPiecePriceIncreasecustomersdownto100ksalestoseeifweactuallymaintainedmargin,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T115,Reviewallmyrepsaccountsandconfirmtheapproachwelltakeforthem,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,Bryce (done)NickKyleDave
T116,GroupcustomersbyMeansofImplmentation,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,SurchargePiece Price Increase as neededAM & Sales rep will monitor and increase prices as necessary on parts.Nothing
T117,ReviewBadBoyFMPProjectedfuturevolumestoseeifwedoneedmoreofanincrease,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T118,TalktoEduardoabouthisaccountsontheRound2sheet,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T119,GettimeinanupcominghuddleanddraftsolidtalktracksforsellingtariffincrasesTHISMONDAY,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T120,PushtheRound2sheettothesalesrepsandaskhowtheywanttoinformthemletterorjustdirectlydeliveringincreaseTODAY,2025-11-12,Projects/Project-TariffRound2Increase.md,Removed ledger entry because parent P1.2 was removed,
T103.1,GetfeedbackfromKarlaongettingaccessforMikeScheweDanCoxJacobPotterLeoRivas,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed from Project-Boltwise-Last-Piece.md during synchronization,
P3.3,PhasesTasks,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.1,Phase1DefineScopeCustomerList,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.2,Phase2FinalizeandRefineAttachmentAContentFormat,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.3,Phase3FinalizeAttachmentAProcessownershipWorkInstructions,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.4,Phase4PilotRollouttoSelectAccounts,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.5,Phase5FullRollouttoTopCustomers,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P3.3.6,Phase6FollowupTrackingMetrics,2025-11-12,Projects/Project-AttachmentA.md,Removed duplicate project ledger entry,
P10.3,EvaluateEfficiencyEffectivenessofBoltwisevsCurrentProcess,2025-11-12,Projects/Project-Boltwise-Last-Piece.md,Removed duplicate project ledger entry,
P8.3,PhasesTasks,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
P8.3.1,Phase1BuildInventoryReportFramework,2025-11-12,Projects/Project-InventoryReport.md,Removed duplicate project ledger entry,
